Algorithm,Qubits,Mutants,Add,Replace,Remove,gate_representation,position_representation,qubit_representation,params_representation
qpeexact,10,66,22,22,22,"{'cp': 26, 'cx': 12, 'h': 9, 'id': 5, 'rzz': 1, 's': 1, 'z': 1, 'x': 1, 'swap': 1, 'cz': 1, 'rx': 1, 'ry': 1, 't': 1, 'p': 1, 'sx': 1, 'rxx': 1, 'y': 1, 'rz': 1}","{'11': 1, '35': 1, '12': 1, '56': 1, '34': 1, '39': 1, '42': 1, '44': 1, '6': 1, '47': 1, '52': 1, '55': 1, '1': 1, '60': 1, '63': 1, '0': 1, '3': 1, '28': 1, '4': 1, '30': 1, '65': 1, '21': 1, '4...","{'8': 10, '7': 9, '6': 8, '9': 8, '5': 7, '3': 6, '4': 6, '2': 5, '1': 4, '0': 3}","{'[]': 27, '': 22, '[3.9269908169872414]': 4, '[5.497787143782138]': 3, '[2.356194490192345]': 3, '[3.141592653589793]': 3, '[1.5707963267948966]': 2, '[0.7853981633974483]': 2}"
vqe,3,20,8,8,4,"{'cx': 2, 'ry': 2, 'y': 1, 'rxx': 1, 'sx': 1, 't': 1, 'cp': 1, 'swap': 1, 's': 1, 'rx': 1, 'rz': 1, 'x': 1, 'id': 1, 'rzz': 1, 'h': 1, 'z': 1, 'p': 1, 'cz': 1}","{'0': 5, '3': 4, '11': 1, '4': 1, '9': 1, '5': 1, '12': 1, '10': 1, '2': 1, '1': 1, '7': 1, '6': 1, '8': 1}","{'0': 9, '1': 8, '2': 3}","{'[]': 10, '': 4, '[5.497787143782138]': 2, '[0.7853981633974483]': 1, '[4.71238898038469]': 1, '[2.356194490192345]': 1, '[3.9269908169872414]': 1}"
vqe,4,22,8,8,6,"{'cx': 3, 'ry': 3, 'rzz': 1, 'id': 1, 'rz': 1, 'y': 1, 'rx': 1, 't': 1, 'rxx': 1, 'p': 1, 'z': 1, 's': 1, 'sx': 1, 'x': 1, 'cz': 1, 'h': 1, 'cp': 1, 'swap': 1}","{'11': 3, '0': 3, '9': 1, '16': 1, '7': 1, '5': 1, '15': 1, '14': 1, '1': 1, '13': 1, '3': 1, '10': 1, '8': 1, '2': 1, '6': 1, '4': 1, '12': 1, '17': 1}","{'2': 7, '0': 7, '1': 5, '3': 3}","{'[]': 10, '': 6, '[3.9269908169872414]': 2, '[2.356194490192345]': 2, '[5.497787143782138]': 1, '[0.7853981633974483]': 1}"
vqe,5,24,8,8,8,"{'ry': 4, 'cx': 4, 'cz': 1, 'rx': 1, 'sx': 1, 'p': 1, 'swap': 1, 'z': 1, 'rzz': 1, 'rz': 1, 'rxx': 1, 'h': 1, 'y': 1, 'x': 1, 'cp': 1, 'id': 1, 't': 1, 's': 1}","{'14': 2, '16': 1, '15': 1, '9': 1, '2': 1, '20': 1, '19': 1, '13': 1, '8': 1, '6': 1, '11': 1, '17': 1, '4': 1, '12': 1, '7': 1, '18': 1, '5': 1, '0': 1, '3': 1, '22': 1, '10': 1, '21': 1, '1': 1}","{'3': 6, '1': 5, '0': 5, '2': 5, '4': 3}","{'[]': 10, '': 8, '[2.356194490192345]': 3, '[5.497787143782138]': 1, '[0.0]': 1, '[3.9269908169872414]': 1}"
vqe,6,28,10,9,9,"{'cx': 5, 'h': 4, 'ry': 4, 'rz': 1, 'swap': 1, 't': 1, 'z': 1, 'rzz': 1, 'cp': 1, 'rx': 1, 'rxx': 1, 'x': 1, 'sx': 1, 'y': 1, 'p': 1, 'id': 1, 's': 1, 'cz': 1}","{'2': 1, '14': 1, '18': 1, '8': 1, '22': 1, '3': 1, '26': 1, '12': 1, '23': 1, '27': 1, '13': 1, '9': 1, '6': 1, '7': 1, '21': 1, '19': 1, '17': 1, '10': 1, '11': 1, '20': 1, '24': 1, '15': 1, '25...","{'2': 5, '3': 5, '4': 5, '1': 5, '0': 5, '5': 3}","{'[]': 13, '': 9, '[5.497787143782138]': 3, '[4.71238898038469]': 2, '[0.7853981633974483]': 1}"
vqe,7,33,11,11,11,"{'h': 7, 'cx': 7, 'ry': 4, 'cz': 1, 'id': 1, 'y': 1, 'swap': 1, 'sx': 1, 'rx': 1, 'z': 1, 'cp': 1, 'rxx': 1, 'rzz': 1, 'p': 1, 'rz': 1, 'x': 1, 't': 1, 's': 1}","{'4': 1, '5': 1, '29': 1, '15': 1, '16': 1, '18': 1, '27': 1, '6': 1, '3': 1, '30': 1, '25': 1, '14': 1, '0': 1, '28': 1, '12': 1, '10': 1, '23': 1, '21': 1, '32': 1, '19': 1, '2': 1, '13': 1, '17...","{'4': 5, '1': 5, '5': 5, '3': 5, '0': 5, '2': 5, '6': 3}","{'[]': 16, '': 11, '[2.356194490192345]': 2, '[3.9269908169872414]': 2, '[5.497787143782138]': 1, '[1.5707963267948966]': 1}"
vqe,8,38,13,12,13,"{'h': 9, 'ry': 7, 'cx': 6, 'cp': 2, 's': 1, 'swap': 1, 'rz': 1, 'p': 1, 'z': 1, 'id': 1, 'cz': 1, 'y': 1, 'rzz': 1, 'x': 1, 'sx': 1, 'rx': 1, 'rxx': 1, 't': 1}","{'18': 1, '37': 1, '6': 1, '1': 1, '24': 1, '12': 1, '29': 1, '31': 1, '34': 1, '5': 1, '11': 1, '26': 1, '20': 1, '10': 1, '2': 1, '21': 1, '15': 1, '9': 1, '3': 1, '35': 1, '32': 1, '7': 1, '23'...","{'3': 5, '6': 5, '4': 5, '2': 5, '1': 5, '0': 5, '5': 5, '7': 3}","{'[]': 18, '': 13, '[1.5707963267948966]': 2, '[5.497787143782138]': 2, '[2.356194490192345]': 1, '[3.9269908169872414]': 1, '[0.0]': 1}"
vqe,9,43,15,14,14,"{'h': 12, 'cx': 8, 'ry': 6, 'cp': 3, 'x': 1, 'z': 1, 'sx': 1, 'swap': 1, 'id': 1, 't': 1, 'rxx': 1, 'p': 1, 'rzz': 1, 'rz': 1, 'cz': 1, 'y': 1, 'rx': 1, 's': 1}","{'42': 1, '27': 1, '41': 1, '5': 1, '8': 1, '28': 1, '11': 1, '3': 1, '15': 1, '26': 1, '1': 1, '36': 1, '29': 1, '30': 1, '31': 1, '33': 1, '18': 1, '24': 1, '10': 1, '37': 1, '39': 1, '19': 1, '...","{'3': 5, '6': 5, '1': 5, '7': 5, '4': 5, '0': 5, '2': 5, '5': 5, '8': 3}","{'[]': 21, '': 14, '[4.71238898038469]': 3, '[1.5707963267948966]': 1, '[0.7853981633974483]': 1, '[5.497787143782138]': 1, '[3.141592653589793]': 1, '[3.9269908169872414]': 1}"
vqe,10,48,16,16,16,"{'h': 14, 'cx': 8, 'ry': 8, 'cp': 4, 'rx': 1, 'z': 1, 'rxx': 1, 'y': 1, 'rz': 1, 'swap': 1, 'cz': 1, 'x': 1, 'id': 1, 'p': 1, 'sx': 1, 'rzz': 1, 't': 1, 's': 1}","{'12': 1, '36': 1, '35': 1, '1': 1, '30': 1, '26': 1, '38': 1, '2': 1, '40': 1, '43': 1, '18': 1, '46': 1, '3': 1, '5': 1, '42': 1, '8': 1, '24': 1, '45': 1, '15': 1, '4': 1, '7': 1, '25': 1, '28'...","{'6': 5, '1': 5, '3': 5, '8': 5, '0': 5, '5': 5, '2': 5, '4': 5, '7': 5, '9': 3}","{'[]': 23, '': 16, '[0.0]': 2, '[3.141592653589793]': 2, '[3.9269908169872414]': 2, '[5.497787143782138]': 1, '[1.5707963267948966]': 1, '[4.71238898038469]': 1}"
wstate,2,18,8,7,3,"{'rz': 1, 'z': 1, 'rxx': 1, 'rzz': 1, 'rx': 1, 't': 1, 'y': 1, 'p': 1, 'h': 1, 'cz': 1, 's': 1, 'x': 1, 'id': 1, 'ry': 1, 'sx': 1, 'cx': 1, 'swap': 1, 'cp': 1}","{'0': 9, '2': 4, '4': 2, '1': 2, '3': 1}","{'0': 12, '1': 6}","{'[]': 9, '': 3, '[5.497787143782138]': 3, '[2.356194490192345]': 1, '[3.141592653589793]': 1, '[4.71238898038469]': 1}"
wstate,3,19,8,7,4,"{'cz': 2, 'ry': 1, 's': 1, 'cp': 1, 'z': 1, 't': 1, 'y': 1, 'sx': 1, 'rz': 1, 'swap': 1, 'h': 1, 'rzz': 1, 'rx': 1, 'rxx': 1, 'p': 1, 'id': 1, 'x': 1, 'cx': 1}","{'0': 7, '3': 4, '2': 2, '1': 1, '8': 1, '4': 1, '6': 1, '7': 1, '5': 1}","{'0': 9, '2': 6, '1': 4}","{'[]': 9, '': 4, '[1.5707963267948966]': 3, '[2.356194490192345]': 1, '[3.9269908169872414]': 1, '[4.71238898038469]': 1}"
wstate,4,20,8,7,5,"{'cz': 3, 'p': 1, 'rzz': 1, 'h': 1, 's': 1, 't': 1, 'rz': 1, 'cp': 1, 'sx': 1, 'rxx': 1, 'z': 1, 'swap': 1, 'id': 1, 'x': 1, 'rx': 1, 'ry': 1, 'cx': 1, 'y': 1}","{'0': 5, '10': 3, '3': 2, '2': 1, '11': 1, '4': 1, '8': 1, '5': 1, '12': 1, '1': 1, '6': 1, '9': 1, '7': 1}","{'0': 7, '2': 6, '1': 4, '3': 3}","{'[]': 9, '': 5, '[1.5707963267948966]': 2, '[2.356194490192345]': 1, '[5.497787143782138]': 1, '[0.0]': 1, '[0.7853981633974483]': 1}"
wstate,5,21,8,7,6,"{'cz': 3, 'ry': 2, 's': 1, 't': 1, 'h': 1, 'x': 1, 'y': 1, 'rz': 1, 'cp': 1, 'cx': 1, 'z': 1, 'sx': 1, 'swap': 1, 'rx': 1, 'rzz': 1, 'p': 1, 'rxx': 1, 'id': 1}","{'0': 4, '11': 2, '6': 1, '9': 1, '14': 1, '4': 1, '8': 1, '1': 1, '2': 1, '13': 1, '5': 1, '3': 1, '16': 1, '7': 1, '12': 1, '15': 1, '10': 1}","{'0': 6, '1': 5, '3': 4, '2': 4, '4': 2}","{'[]': 9, '': 6, '[0.7853981633974483]': 2, '[1.5707963267948966]': 2, '[3.9269908169872414]': 1, '[3.141592653589793]': 1}"
wstate,6,23,8,8,7,"{'cx': 3, 'ry': 3, 'cz': 2, 'h': 1, 'rx': 1, 'rxx': 1, 'cp': 1, 'id': 1, 't': 1, 'z': 1, 'p': 1, 'x': 1, 'rzz': 1, 's': 1, 'sx': 1, 'swap': 1, 'rz': 1, 'y': 1}","{'0': 3, '3': 1, '10': 1, '5': 1, '4': 1, '14': 1, '9': 1, '18': 1, '7': 1, '11': 1, '2': 1, '20': 1, '1': 1, '13': 1, '6': 1, '19': 1, '17': 1, '16': 1, '8': 1, '15': 1, '12': 1}","{'0': 5, '4': 4, '3': 4, '1': 4, '2': 4, '5': 2}","{'[]': 10, '': 7, '[5.497787143782138]': 2, '[3.9269908169872414]': 2, '[2.356194490192345]': 1, '[3.141592653589793]': 1}"
wstate,7,25,9,8,8,"{'cx': 5, 'cz': 3, 'h': 2, 'x': 1, 'rzz': 1, 'sx': 1, 'z': 1, 'y': 1, 'rxx': 1, 'rz': 1, 'id': 1, 'rx': 1, 't': 1, 's': 1, 'ry': 1, 'swap': 1, 'cp': 1, 'p': 1}","{'22': 1, '16': 1, '19': 1, '6': 1, '15': 1, '18': 1, '5': 1, '4': 1, '13': 1, '12': 1, '8': 1, '3': 1, '0': 1, '23': 1, '2': 1, '21': 1, '1': 1, '14': 1, '17': 1, '11': 1, '9': 1, '7': 1, '10': 1...","{'2': 4, '1': 4, '4': 4, '5': 4, '3': 4, '0': 3, '6': 2}","{'[]': 11, '': 8, '[1.5707963267948966]': 2, '[3.9269908169872414]': 1, '[5.497787143782138]': 1, '[4.71238898038469]': 1, '[3.141592653589793]': 1}"
wstate,8,29,10,9,10,"{'h': 5, 'cx': 5, 'ry': 3, 'cz': 2, 'y': 1, 'p': 1, 'rx': 1, 'sx': 1, 'cp': 1, 'id': 1, 's': 1, 'swap': 1, 'rz': 1, 'z': 1, 'x': 1, 't': 1, 'rzz': 1, 'rxx': 1}","{'21': 1, '9': 1, '11': 1, '18': 1, '10': 1, '17': 1, '5': 1, '1': 1, '2': 1, '19': 1, '24': 1, '13': 1, '16': 1, '7': 1, '4': 1, '28': 1, '20': 1, '6': 1, '15': 1, '3': 1, '8': 1, '14': 1, '27': ...","{'6': 4, '5': 4, '3': 4, '2': 4, '1': 4, '4': 4, '0': 3, '7': 2}","{'[]': 13, '': 10, '[1.5707963267948966]': 2, '[4.71238898038469]': 2, '[0.7853981633974483]': 1, '[0.0]': 1}"
wstate,9,33,11,11,11,"{'cx': 6, 'h': 6, 'cp': 3, 'ry': 3, 'cz': 2, 'swap': 1, 'z': 1, 's': 1, 'id': 1, 'sx': 1, 'x': 1, 'rx': 1, 't': 1, 'rzz': 1, 'y': 1, 'p': 1, 'rz': 1, 'rxx': 1}","{'25': 1, '32': 1, '19': 1, '5': 1, '20': 1, '2': 1, '18': 1, '7': 1, '4': 1, '24': 1, '0': 1, '14': 1, '27': 1, '15': 1, '10': 1, '23': 1, '8': 1, '26': 1, '6': 1, '3': 1, '13': 1, '16': 1, '11':...","{'7': 4, '6': 4, '4': 4, '3': 4, '2': 4, '1': 4, '5': 4, '0': 3, '8': 2}","{'[]': 14, '': 11, '[5.497787143782138]': 3, '[0.7853981633974483]': 2, '[3.141592653589793]': 2, '[4.71238898038469]': 1}"
wstate,10,37,13,12,12,"{'cx': 7, 'h': 7, 'cp': 5, 'ry': 4, 'swap': 1, 't': 1, 'rz': 1, 'z': 1, 'p': 1, 'id': 1, 'y': 1, 'cz': 1, 'rxx': 1, 'rzz': 1, 'sx': 1, 'x': 1, 'rx': 1, 's': 1}","{'28': 1, '26': 1, '8': 1, '23': 1, '29': 1, '14': 1, '27': 1, '4': 1, '10': 1, '7': 1, '22': 1, '17': 1, '19': 1, '18': 1, '36': 1, '11': 1, '16': 1, '5': 1, '20': 1, '30': 1, '12': 1, '31': 1, '...","{'8': 4, '6': 4, '5': 4, '4': 4, '3': 4, '2': 4, '1': 4, '7': 4, '0': 3, '9': 2}","{'[]': 15, '': 12, '[5.497787143782138]': 2, '[0.0]': 2, '[3.141592653589793]': 2, '[2.356194490192345]': 1, '[0.7853981633974483]': 1, '[4.71238898038469]': 1, '[3.9269908169872414]': 1}"
